"listing_id","sale_price","usable_area","price_per_m2","suburb"
"2759437914","550000","68","8088,24","Morretes"
"2723959119","849000","115","7382,61","Andorinha"
"2737592152","1300000","104","12500","Andorinha"
"2764768481","1780000","118","15084,75","Meia Praia"
"2656865288","6595000","189","34894,18","Meia Praia"
"2655495385","2587567","160","16172,29","Meia Praia"
"2735272929","8085000","359","22520,89","Meia Praia"
"2759065235","699000","455","1536,26","Meia Praia"
"2763090332","1630000","126","12936,51","Meia Praia"
"2692636162","3600000","208","17307,69","Centro"
"2692635958","1180000","100","11800","Meia Praia"
"2765548425","1150000","117","9829,06","Meia Praia"
"2756214830","1005007","40","25125,18","Meia Praia"
"2767582451","698140","67","10420","Morretes"
"2434762115","2800000","157","17834,39","Centro"
"2760157921","750000","70","10714,29","Meia Praia"
"2569453263","1500000","114","13157,89","Centro"
"2764632411","1300000","105","12380,95","Meia Praia"
"2560059200","1329000","104","12778,85","Meia Praia"
"2760080648","2800000","175","16000","Meia Praia"
"2699373577","2420000","163","14846,63","Andorinha"
"2764220321","1526565","120","12721,38","Andorinha"
"2766852339","952800","75","12704","Meia Praia"
"2697672998","2500000","161","15527,95","Canto da Praia"
"2761878252","2500000","140","17857,14","Centro"
"2511793804","2162000","116","18637,93","Meia Praia"
"2559266065","980000","332","2951,81","Sertão do Trombudo"
"2760490017","1399000","106","13198,11","Meia Praia"
"2723623838","750000","96","7812,5","Andorinha"
"2580279411","1000000","150","6666,67","Alto São Bento"
"2560637284","550001","70","7857,16","Morretes"
"2764975507","920000","69","13333,33","Morretes"
"2596036081","2550000","137","18613,14","Meia Praia"
"2741811354","479000","40","11975","Morretes"
"2618397804","741000","70","10585,71","Morretes"
"2560636986","580000","90","6444,44","Morretes"
"2727432737","549000","70","7842,86","Alto São Bento"
"2759541319","1640000","117","14017,09","Meia Praia"
"2764632872","1500000","100","15000","Canto da Praia"
"2755294588","1949900","140","13927,86","Meia Praia"
"2735685063","550001","288","1909,73","Morretes"
"2683018601","1882918","151","12469,66","Meia Praia"
"2560637084","620000","74","8378,38","Morretes"
"2763985222","900000","90","10000","Tabuleiro dos Oliveiras"
"2567535767","1400000","154","9090,91","Meia Praia"
"2765060729","680000","80","8500","Morretes"
"2756211455","1005007","40","25125,18","Meia Praia"
"2592783784","1300000","150","8666,67","Meia Praia"
"2702951379","630000","100","6300","Morretes"
"2560637740","590000","85","6941,18","Morretes"
"2727832613","1199000","88","13625","Castelo Branco"
